product_id,non_disponibili,disponibili,totale,percentuale_disponibili
13842,2,1,3,33.3
14115,2,1,3,33.3
14998,1,1,2,50.0
10663,1,1,2,50.0
2051,1,1,2,50.0
1572,2,1,3,33.3
2031,2,1,3,33.3
13782,2,1,3,33.3
8139,2,1,3,33.3
21634,3,1,4,25.0
5398,2,1,3,33.3
4562,3,1,4,25.0
6387,2,1,3,33.3
8013,3,1,4,25.0
13962,1,1,2,50.0
20486,2,1,3,33.3
15401,2,1,3,33.3
8918,3,1,4,25.0
24930,3,1,4,25.0
15044,2,1,3,33.3
8419,1,1,2,50.0
10831,2,1,3,33.3
10583,3,1,4,25.0
10346,2,1,3,33.3
15720,1,1,2,50.0
22894,1,1,2,50.0
3040,2,1,3,33.3
2351,1,1,2,50.0
28356,1,1,2,50.0
6912,2,1,3,33.3
1574,2,1,3,33.3
1913,2,1,3,33.3
131,2,1,3,33.3
1698,1,1,2,50.0
17902,1,1,2,50.0
7596,2,1,3,33.3
5629,1,1,2,50.0
1518,3,1,4,25.0
16149,1,1,2,50.0
2739,3,1,4,25.0
17286,2,1,3,33.3
26226,1,1,2,50.0
19311,1,1,2,50.0
10608,2,1,3,33.3
10680,1,1,2,50.0
5407,3,1,4,25.0
1040,1,1,2,50.0
22544,3,1,4,25.0
22482,2,1,3,33.3
379,3,1,4,25.0
963,2,1,3,33.3
228,1,1,2,50.0
9922,1,1,2,50.0
26309,1,1,2,50.0
26174,1,1,2,50.0
10165,1,1,2,50.0
6878,3,1,4,25.0
26023,1,1,2,50.0
27360,2,1,3,33.3
14594,2,1,3,33.3
4402,3,1,4,25.0
6283,3,1,4,25.0
4530,1,1,2,50.0
17460,3,1,4,25.0
15431,3,1,4,25.0
29057,1,1,2,50.0
411,2,1,3,33.3
8244,1,1,2,50.0
27473,2,1,3,33.3
27572,1,1,2,50.0
11308,1,1,2,50.0
10565,3,1,4,25.0
10455,1,1,2,50.0
6170,2,1,3,33.3
3091,1,1,2,50.0
7094,1,1,2,50.0
13911,2,1,3,33.3
8410,2,1,3,33.3
5184,2,1,3,33.3
11302,2,1,3,33.3
11098,2,1,3,33.3
14440,1,1,2,50.0
20549,3,1,4,25.0
14924,1,1,2,50.0
26780,1,1,2,50.0
26862,1,1,2,50.0
10239,2,1,3,33.3
28433,1,1,2,50.0
13674,1,1,2,50.0
13777,1,1,2,50.0
14065,2,1,3,33.3
9408,2,1,3,33.3
15456,1,1,2,50.0
7474,3,1,4,25.0
24617,2,1,3,33.3
24618,2,1,3,33.3
629,3,1,4,25.0
23678,1,1,2,50.0
16564,1,1,2,50.0
13819,2,1,3,33.3
10488,1,1,2,50.0
18184,2,1,3,33.3
8284,3,1,4,25.0
23650,3,1,4,25.0
2460,2,1,3,33.3
11685,2,1,3,33.3
3459,2,1,3,33.3
17907,1,1,2,50.0
8961,1,1,2,50.0
15764,1,1,2,50.0
24491,2,1,3,33.3
23897,2,1,3,33.3
13765,1,1,2,50.0
14189,1,1,2,50.0
5489,1,1,2,50.0
9179,1,1,2,50.0
78,2,1,3,33.3
1324,3,1,4,25.0
187,1,1,2,50.0
26009,1,1,2,50.0
4896,1,1,2,50.0
4108,1,1,2,50.0
6426,1,1,2,50.0
8487,1,1,2,50.0
19758,2,1,3,33.3
4149,1,1,2,50.0
22603,1,1,2,50.0
7758,1,1,2,50.0
1871,1,1,2,50.0
7001,2,1,3,33.3
7782,2,1,3,33.3
2187,1,1,2,50.0
22420,3,1,4,25.0
7845,1,1,2,50.0
5804,2,1,3,33.3
7869,1,1,2,50.0
11213,2,1,3,33.3
14823,1,1,2,50.0
6230,1,1,2,50.0
7777,2,1,3,33.3
12401,3,1,4,25.0
12430,1,1,2,50.0
4010,3,1,4,25.0
2324,1,1,2,50.0
1196,1,1,2,50.0
2055,1,1,2,50.0
6686,2,1,3,33.3
28092,1,1,2,50.0
11175,3,1,4,25.0
11760,2,1,3,33.3
19467,3,1,4,25.0
7502,2,1,3,33.3
14119,1,1,2,50.0
2937,2,1,3,33.3
5263,1,1,2,50.0
20325,1,1,2,50.0
12198,2,1,3,33.3
22138,1,1,2,50.0
13569,2,1,3,33.3
616,1,1,2,50.0
9852,3,1,4,25.0
7576,2,1,3,33.3
12417,1,1,2,50.0
12493,1,1,2,50.0
7211,1,1,2,50.0
8920,2,1,3,33.3
28172,1,1,2,50.0
10086,1,1,2,50.0
8637,1,1,2,50.0
15311,1,1,2,50.0
3814,1,1,2,50.0
8800,1,1,2,50.0
15983,1,1,2,50.0
27933,1,1,2,50.0
12147,2,1,3,33.3
11899,3,1,4,25.0
2463,2,1,3,33.3
13732,1,1,2,50.0
18156,3,1,4,25.0
19093,1,1,2,50.0
20132,2,1,3,33.3
25344,1,1,2,50.0
18298,1,1,2,50.0
15621,1,1,2,50.0
8404,1,1,2,50.0
12527,1,1,2,50.0
22833,2,1,3,33.3
13176,2,1,3,33.3
1495,2,1,3,33.3
6214,1,1,2,50.0
5795,1,1,2,50.0
20332,2,1,3,33.3
2265,2,1,3,33.3
13669,2,1,3,33.3
17010,3,1,4,25.0
16325,2,1,3,33.3
3387,1,1,2,50.0
10688,1,1,2,50.0
7953,1,1,2,50.0
642,1,1,2,50.0
5764,1,1,2,50.0
27149,1,1,2,50.0
15447,1,1,2,50.0
16343,2,1,3,33.3
9317,1,1,2,50.0
8212,2,1,3,33.3
8144,1,1,2,50.0
9253,1,1,2,50.0
11786,1,1,2,50.0
11794,3,1,4,25.0
14619,1,1,2,50.0
11507,1,1,2,50.0
9732,2,1,3,33.3
10627,1,1,2,50.0
5011,1,1,2,50.0
6670,1,1,2,50.0
595,2,1,3,33.3
20943,3,1,4,25.0
20951,1,1,2,50.0
4339,2,1,3,33.3
11266,2,1,3,33.3
2504,3,1,4,25.0
23537,2,1,3,33.3
9503,3,1,4,25.0
6067,1,1,2,50.0
1747,3,1,4,25.0
14107,1,1,2,50.0
3986,1,1,2,50.0
8813,2,1,3,33.3
15721,1,1,2,50.0
15560,3,1,4,25.0
19184,1,1,2,50.0
3748,2,1,3,33.3
11065,1,1,2,50.0
15323,3,1,4,25.0
15586,3,1,4,25.0
14638,2,1,3,33.3
14773,2,1,3,33.3
15042,1,1,2,50.0
25867,1,1,2,50.0
22040,2,1,3,33.3
7230,1,1,2,50.0
3181,2,1,3,33.3
7803,1,1,2,50.0
10903,2,1,3,33.3
3284,2,1,3,33.3
21998,3,1,4,25.0
12110,1,1,2,50.0
19728,1,1,2,50.0
365,1,1,2,50.0
15313,1,1,2,50.0
18502,1,1,2,50.0
21086,1,1,2,50.0
7975,1,1,2,50.0
5531,3,1,4,25.0
8737,3,1,4,25.0
8697,2,1,3,33.3
526,2,1,3,33.3
13829,1,1,2,50.0
6635,1,1,2,50.0
25175,2,1,3,33.3
16749,3,1,4,25.0
11630,1,1,2,50.0
6297,2,1,3,33.3
1959,1,1,2,50.0
12604,2,1,3,33.3
5894,1,1,2,50.0
2826,2,1,3,33.3
3054,2,1,3,33.3
2046,1,1,2,50.0
1809,3,1,4,25.0
8752,1,1,2,50.0
1473,1,1,2,50.0
20185,2,1,3,33.3
12053,1,1,2,50.0
13124,3,1,4,25.0
12947,1,1,2,50.0
8914,1,1,2,50.0
7689,1,1,2,50.0
7986,1,1,2,50.0
6348,2,1,3,33.3
10293,1,1,2,50.0
10889,1,1,2,50.0
9421,1,1,2,50.0
5397,3,1,4,25.0
11850,2,1,3,33.3
19969,1,1,2,50.0
7548,1,1,2,50.0
22935,1,1,2,50.0
21759,1,1,2,50.0
3115,1,1,2,50.0
3612,1,1,2,50.0
3191,3,1,4,25.0
5095,2,1,3,33.3
6890,3,1,4,25.0
14853,2,1,3,33.3
12317,1,1,2,50.0
20358,1,1,2,50.0
14102,2,1,3,33.3
10394,2,1,3,33.3
20048,1,1,2,50.0
8443,2,1,3,33.3
28817,1,1,2,50.0
17302,3,1,4,25.0
16355,2,1,3,33.3
9764,3,1,4,25.0
12436,3,1,4,25.0
12470,1,1,2,50.0
15719,2,1,3,33.3
24441,1,1,2,50.0
523,1,1,2,50.0
7199,3,1,4,25.0
13945,2,1,3,33.3
13040,3,1,4,25.0
13153,2,1,3,33.3
6190,1,1,2,50.0
14926,2,1,3,33.3
17192,2,1,3,33.3
24461,3,1,4,25.0
2556,3,1,4,25.0
21510,1,1,2,50.0
20598,3,1,4,25.0
17066,3,1,4,25.0
26095,1,1,2,50.0
14123,2,1,3,33.3
14908,1,1,2,50.0
24852,1,1,2,50.0
3646,2,1,3,33.3
3716,1,1,2,50.0
4878,2,1,3,33.3
6750,1,1,2,50.0
17051,1,1,2,50.0
27199,3,1,4,25.0
20164,1,1,2,50.0
7119,2,1,3,33.3
1841,1,1,2,50.0
15202,3,1,4,25.0
15022,2,1,3,33.3
14803,1,1,2,50.0
6874,2,1,3,33.3
104,3,1,4,25.0
26707,1,1,2,50.0
26719,1,1,2,50.0
27294,3,1,4,25.0
851,1,1,2,50.0
5214,1,1,2,50.0
500,2,1,3,33.3
12927,1,1,2,50.0
15132,1,1,2,50.0
8426,2,1,3,33.3
4513,1,1,2,50.0
4825,1,1,2,50.0
454,2,1,3,33.3
13583,1,1,2,50.0
8381,1,1,2,50.0
28758,1,1,2,50.0
21798,2,2,4,50.0
21820,5,2,7,28.6
23643,4,2,6,33.3
23925,3,2,5,40.0
28308,5,2,7,28.6
28714,3,2,5,40.0
12810,3,2,5,40.0
1493,2,2,4,50.0
2848,4,2,6,33.3
19127,2,2,4,50.0
193,3,2,5,40.0
2107,2,2,4,50.0
1880,4,2,6,33.3
15914,3,2,5,40.0
9254,3,2,5,40.0
5718,4,2,6,33.3
5752,4,2,6,33.3
8864,4,2,6,33.3
9407,3,2,5,40.0
9413,4,2,6,33.3
4305,3,2,5,40.0
9430,2,2,4,50.0
24978,3,2,5,40.0
7236,2,2,4,50.0
12816,3,2,5,40.0
3850,4,2,6,33.3
791,2,2,4,50.0
21536,2,2,4,50.0
21389,4,2,6,33.3
22784,4,2,6,33.3
4914,3,2,5,40.0
22074,5,2,7,28.6
20832,4,2,6,33.3
4763,4,2,6,33.3
4764,5,2,7,28.6
6375,2,2,4,50.0
5107,5,2,7,28.6
20727,4,2,6,33.3
25713,4,2,6,33.3
1972,5,2,7,28.6
24445,3,2,5,40.0
3956,4,2,6,33.3
20192,3,2,5,40.0
6463,4,2,6,33.3
15357,2,2,4,50.0
9403,4,2,6,33.3
22526,2,2,4,50.0
11008,2,2,4,50.0
11307,4,2,6,33.3
15295,4,2,6,33.3
15336,4,2,6,33.3
15178,4,2,6,33.3
5799,4,2,6,33.3
12717,3,2,5,40.0
27059,2,2,4,50.0
15612,4,2,6,33.3
15385,2,2,4,50.0
14175,3,2,5,40.0
14250,3,2,5,40.0
21955,4,2,6,33.3
6780,6,2,8,25.0
6696,4,2,6,33.3
7323,4,2,6,33.3
7096,4,2,6,33.3
13813,3,2,5,40.0
2871,3,2,5,40.0
16296,3,2,5,40.0
18011,3,2,5,40.0
10772,2,2,4,50.0
8814,2,2,4,50.0
26302,2,2,4,50.0
7670,5,2,7,28.6
28200,5,2,7,28.6
11894,4,2,6,33.3
3846,4,2,6,33.3
13073,3,2,5,40.0
6684,3,2,5,40.0
924,2,2,4,50.0
1961,5,2,7,28.6
3245,3,2,5,40.0
1526,3,2,5,40.0
13562,3,2,5,40.0
6495,5,2,7,28.6
17698,5,2,7,28.6
771,4,2,6,33.3
7738,2,2,4,50.0
5835,4,2,6,33.3
24835,5,2,7,28.6
16528,4,2,6,33.3
2595,3,2,5,40.0
2986,3,2,5,40.0
20374,3,2,5,40.0
10698,3,2,5,40.0
7185,4,2,6,33.3
27655,5,2,7,28.6
21218,2,2,4,50.0
14462,5,2,7,28.6
1542,6,2,8,25.0
559,5,2,7,28.6
10927,2,2,4,50.0
1858,4,2,6,33.3
12641,4,2,6,33.3
26388,2,2,4,50.0
17694,4,2,6,33.3
