year_month,profit
2019-01-13,14.0
2019-01-27,15.0
2019-01-29,20.0
2019-01-31,83.0
2019-02-02,54.0
2019-02-03,65.0
2019-02-05,41.0
2019-02-10,87.0
2019-02-13,10.0
2019-02-15,118.0
2019-02-18,39.0
2019-02-19,34.0
2019-02-20,74.0
2019-02-21,14.0
2019-02-22,52.0
2019-02-23,62.0
2019-02-24,32.0
2019-02-25,30.0
2019-02-26,154.0
2019-02-27,61.0
2019-02-28,15.0
2019-03-02,136.0
2019-03-04,19.0
2019-03-06,73.0
2019-03-07,12.0
2019-03-08,50.0
2019-03-09,9.0
2019-03-11,31.0
2019-03-12,51.0
2019-03-15,22.0
2019-03-16,17.0
2019-03-19,54.0
2019-03-21,13.0
2019-03-22,18.0
2019-03-23,124.0
2019-03-27,31.0
2019-03-28,17.0
2019-03-29,80.0
2019-03-30,45.0
2019-03-31,73.0
2019-04-02,33.0
2019-04-03,160.0
2019-04-04,29.0
2019-04-07,15.0
2019-04-09,187.0
2019-04-10,64.0
2019-04-11,106.0
2019-04-12,185.0
2019-04-13,226.0
2019-04-15,21.0
2019-04-16,70.0
2019-04-17,17.0
2019-04-18,60.0
2019-04-19,194.0
2019-04-20,70.0
2019-04-21,37.0
2019-04-22,90.0
2019-04-23,190.0
2019-04-24,49.0
2019-04-25,31.0
2019-04-26,80.0
2019-04-27,11.0
2019-04-28,68.0
2019-04-29,18.0
2019-05-01,24.0
2019-05-02,78.0
2019-05-04,13.0
2019-05-05,99.0
2019-05-06,107.0
2019-05-07,36.0
2019-05-08,37.0
2019-05-09,130.0
2019-05-10,53.0
2019-05-11,113.0
2019-05-13,26.0
2019-05-14,144.0
2019-05-16,37.0
2019-05-17,18.0
2019-05-19,197.0
2019-05-20,170.0
2019-05-21,4.0
2019-05-22,153.0
2019-05-23,97.0
2019-05-25,8.0
2019-05-27,186.0
2019-05-29,41.0
2019-05-30,30.0
2019-05-31,15.0
2019-06-01,93.0
2019-06-02,51.0
2019-06-03,114.0
2019-06-04,38.0
2019-06-05,147.0
2019-06-06,93.0
2019-06-07,52.0
2019-06-08,62.0
2019-06-09,53.0
2019-06-11,24.0
2019-06-12,48.0
2019-06-13,73.0
2019-06-14,49.0
2019-06-15,157.0
2019-06-16,82.0
2019-06-17,69.0
2019-06-18,35.0
2019-06-19,203.0
2019-06-20,32.0
2019-06-21,49.0
2019-06-22,128.0
2019-06-23,18.0
2019-06-24,63.0
2019-06-25,61.0
2019-06-26,46.0
2019-06-27,117.0
2019-06-28,92.0
2019-06-29,65.0
2019-06-30,32.0
2019-07-02,88.0
2019-07-03,67.0
2019-07-04,101.0
2019-07-05,107.0
2019-07-06,224.0
2019-07-07,25.0
2019-07-08,66.0
2019-07-09,64.0
2019-07-10,91.0
2019-07-11,107.0
2019-07-12,136.0
2019-07-13,82.0
2019-07-14,138.0
2019-07-15,38.0
2019-07-16,7.0
2019-07-17,54.0
2019-07-18,70.0
2019-07-19,319.0
2019-07-20,183.0
2019-07-21,442.0
2019-07-22,53.0
2019-07-23,242.0
2019-07-24,520.0
2019-07-25,107.0
2019-07-26,61.0
2019-07-27,28.0
2019-07-28,130.0
2019-07-29,106.0
2019-07-30,249.0
2019-07-31,70.0
2019-08-01,165.0
2019-08-02,52.0
2019-08-03,34.0
2019-08-04,529.0
2019-08-05,43.0
2019-08-06,27.0
2019-08-07,14.0
2019-08-08,57.0
2019-08-09,53.0
2019-08-10,260.0
2019-08-11,225.0
2019-08-12,96.0
2019-08-13,195.0
2019-08-14,82.0
2019-08-15,102.0
2019-08-16,153.0
2019-08-17,119.0
2019-08-18,49.0
2019-08-19,67.0
2019-08-20,44.0
2019-08-21,19.0
2019-08-22,206.0
2019-08-23,158.0
2019-08-24,27.0
2019-08-25,130.0
2019-08-26,96.0
2019-08-27,253.0
2019-08-28,25.0
2019-08-29,261.0
2019-08-30,266.0
2019-08-31,109.0
2019-09-01,106.0
2019-09-02,84.0
2019-09-03,68.0
2019-09-04,132.0
2019-09-05,47.0
2019-09-06,154.0
2019-09-07,17.0
2019-09-08,299.0
2019-09-09,19.0
2019-09-10,224.0
2019-09-11,198.0
2019-09-12,204.0
2019-09-13,104.0
2019-09-14,135.0
2019-09-15,328.0
2019-09-16,275.0
2019-09-17,38.0
2019-09-18,117.0
2019-09-19,43.0
2019-09-20,104.0
2019-09-21,47.0
2019-09-22,91.0
2019-09-23,358.0
2019-09-24,142.0
2019-09-25,298.0
2019-09-26,283.0
2019-09-27,102.0
2019-09-28,110.0
2019-09-29,175.0
2019-09-30,245.0
2019-10-01,111.0
2019-10-02,111.0
2019-10-03,340.0
2019-10-04,148.0
2019-10-05,160.0
2019-10-06,108.0
2019-10-07,137.0
2019-10-08,242.0
2019-10-09,55.0
2019-10-10,192.0
2019-10-11,8.0
2019-10-12,208.0
2019-10-13,99.0
2019-10-14,144.0
2019-10-15,109.0
2019-10-16,94.0
2019-10-17,342.0
2019-10-18,261.0
2019-10-19,175.0
2019-10-20,188.0
2019-10-21,295.0
