product_id,product_name,category,retail_price,cost,purchase_count,profit
2723,The North Face Denali Down Womens Jacket 2013,Active,903.0,396.0,16,8120.0
24053,The North Face Denali Down Mens Jacket 2013,Outerwear & Coats,903.0,436.0,11,5135.0
24083,Diesel Men's Lisardo Jacket,Outerwear & Coats,758.0,335.0,12,5076.0
23989,The North Face Freedom Mens Ski Pants 2013,Outerwear & Coats,903.0,369.0,9,4803.0
23546,Alpha Industries Rip Stop Short,Shorts,999.0,483.0,9,4648.0
23951,The North Face Nuptse 2 Jacket Deep Water Blue Mens,Outerwear & Coats,903.0,368.0,8,4284.0
24283,The North Face Nuptse 2 Jacket - Noah Green/TNF Black,Outerwear & Coats,903.0,370.0,8,4262.0
24314,Nobis Men's Cartel Jacket,Outerwear & Coats,750.0,330.0,10,4200.0
24110,Woolrich Arctic Parka DF,Outerwear & Coats,990.0,478.0,8,4095.0
22927,AIR JORDAN DOMINATE SHORTS MENS 465071-100,Shorts,903.0,454.0,9,4039.0
24341,Nobis Yatesy Parka,Outerwear & Coats,950.0,382.0,7,3977.0
23654,The North Face Apex Bionic Soft Shell Jacket - Men's,Outerwear & Coats,903.0,363.0,7,3780.0
24446,Arc'teryx Theta SV Jacket - Men's,Outerwear & Coats,550.0,247.0,12,3637.0
24205,Diesel Men's Lagnum Leather Jacket,Outerwear & Coats,598.0,268.0,11,3631.0
24447,Darla,Outerwear & Coats,999.0,405.0,6,3566.0
20366,Robert Graham Men's Barbican Velvet Blazer,Suits & Sport Coats,698.0,305.0,9,3537.0
2719,Canada Goose Women's Solaris,Active,695.0,261.0,8,3469.0
24201,Mens Nike AirJordan Varsity Hoodie Jacket Grey / Black 451582-066,Outerwear & Coats,903.0,409.0,7,3458.0
23646,Diesel Men's Lophophora Leather Jacket,Outerwear & Coats,898.0,409.0,7,3426.0
17094,The North Face Apex Bionic Soft Shell Jacket - Men's,Fashion Hoodies & Sweatshirts,903.0,525.0,9,3405.0
23838,Arc'teryx Men's Alpha SV Jacket,Outerwear & Coats,625.0,248.0,9,3392.0
24428,The North Face Apex Bionic Mens Soft Shell Ski Jacket 2013,Outerwear & Coats,903.0,420.0,7,3382.0
8721,Nobis Merideth Parka,Outerwear & Coats,795.0,382.0,8,3301.0
8398,The North Face Denali Down Womens Jacket 2013,Outerwear & Coats,903.0,437.0,7,3262.0
8013,NAU Highline Blazer Women's Clothing,Blazers & Jackets,415.0,147.0,12,3217.0
2796,ASCIS Cushion Low Socks (Pack of 3),Active,903.0,374.0,6,3175.0
24042,Canada Goose Men's Langford Parka,Outerwear & Coats,695.0,300.0,8,3158.0
23864,Men's Moncler Down Vest Tib,Outerwear & Coats,550.0,238.0,10,3118.0
18062,The North Face Apex Bionic Soft Shell Jacket - Men's,Active,903.0,392.0,6,3067.0
22812,Quiksilver Men's Rockefeller Walkshort,Shorts,903.0,472.0,7,3015.0
21555,True Religion Men's Ricky Super T Straight Jean,Jeans,389.0,193.0,15,2941.0
20441,Joseph Abboud Men's 2 Button Side Vent Stripe Suit With Flat Front Pant,Suits & Sport Coats,417.0,157.0,11,2858.0
1052,Magaschoni Women's 100% Cashmere Cable Sweater Jacket,Sweaters,588.0,248.0,8,2724.0
20171,Robert Graham Men's Minstrel Dinner Jacket,Suits & Sport Coats,598.0,210.0,7,2717.0
20228,Faconnable Men's Double Face Wool Jacket,Suits & Sport Coats,488.0,186.0,9,2716.0
23962,Marc New York by Andrew Marc Men's Cuervo Distressed Retro Calf Moto Jacket,Outerwear & Coats,358.0,150.0,13,2709.0
